"","sex","prob","vacci_status","names"
"91",0,0.8,1,"Castaneda, Edward"
"92",0,0.8,0,"Neal, Sean"
"93",0,0.8,0,"Tafoya, David"
"94",1,0.6,1,"Goheen, Cheyenne"
"95",1,0.6,1,"Jernigan, Lari"
"96",0,0.8,1,"Perez, Conner"
"97",1,0.6,0,"el-Omer, Nafeesa"
"98",1,0.6,1,"Gordillo-Sarabia, Elsie"
"99",1,0.6,0,"Aragon, Miranda"
"100",0,0.8,1,"Hoppe, Jeffrey"
"101",1,0.6,1,"Najera, Jamie"
"102",0,0.8,1,"Christy, Tony"
"103",0,0.8,1,"Strine, Paul"
"104",0,0.8,1,"Rose, Caleb"
"105",1,0.6,0,"Clute, Kayla"
"106",1,0.6,1,"Chung, Annie"
"107",1,0.6,0,"Costello, Coral"
"108",0,0.8,1,"Noorda, Timothy"
"109",1,0.6,1,"Morales, Estrellita"
"110",1,0.6,0,"Fernandes, Ashley"
"111",1,0.6,1,"Hoodjer, Vanessa"
"112",1,0.6,1,"Childs, Courtney"
"113",0,0.8,0,"Smith, Mark"
"114",1,0.6,0,"Tran, Monica"
"115",0,0.8,1,"Wilcox, Patrick"
"116",0,0.8,1,"Hall, Lonnie"
"117",0,0.8,0,"el-Nouri, Abdul Ghafoor"
"118",1,0.6,0,"Garcia, Caroline"
"119",0,0.8,0,"Almazbek, Liren Michael"
"120",1,0.6,1,"el-Rabbani, Ramla"
"121",1,0.6,1,"Ditlevson, Cheyenne"
"122",1,0.6,0,"Dubose, Yaz'Maine"
"123",0,0.8,1,"Trotter, Baylen"
"124",0,0.8,1,"Her, Panupoan"
"125",0,0.8,1,"Sandoval, Teran"
"126",0,0.8,1,"Ramirez, Jorge"
"127",1,0.6,0,"al-Elamin, Rif'a"
"128",0,0.8,1,"Faulkner, Jay"
"129",1,0.6,1,"Mcdaniel, Aaliyah"
"130",1,0.6,0,"Sharp, Ivana Katerina"
"131",1,0.6,1,"al-Mostafa, Huwaida"
"132",0,0.8,1,"Morales Lopez, Kyel"
"133",1,0.6,0,"Erebia, Jennifer"
"134",1,0.6,0,"Grumbach, Shanada"
"135",0,0.8,0,"Holiday, Aaron"
"136",1,0.6,1,"Sheppard, Zanelle"
"137",1,0.6,0,"Stinson, Shea"
"138",0,0.8,1,"Haver, Tyler"
"139",0,0.8,1,"Harrier, Jesse"
"140",1,0.6,1,"Paranthaman, Mackenzie"
"141",0,0.8,1,"Murphy, Anthony"
"142",0,0.8,0,"Auyeung, Li"
"143",1,0.6,0,"el-Maroun, Ameera"
"144",1,0.6,0,"el-Demian, Majdiyya"
"145",1,0.6,1,"Cross, Daijah"
"146",1,0.6,0,"Candelaria, Cheyenne"
"147",1,0.6,1,"Yellowhorse Leon, Quintina"
"148",0,0.8,0,"Tryon, Zachary"
"149",0,0.8,1,"Chambers, Dalton"
"150",1,0.6,0,"Brooks, Traliah"
"151",0,0.8,0,"Von Handorf, Paul"
"152",0,0.8,1,"el-Mansur, Razeen"
"153",0,0.8,1,"Shipe, Brandon"
"154",0,0.8,1,"Kim, Alex"
"155",0,0.8,0,"Naudin, David"
"156",1,0.6,1,"Summers, Alexis"
"157",0,0.8,1,"Martinez, Luis"
"158",1,0.6,0,"Black, Tyranee"
"159",1,0.6,1,"Gonzales, Mercedes"
"160",0,0.8,1,"Nixon, Austin"
"161",0,0.8,1,"al-Din, Yahya"
"162",1,0.6,1,"Lewis, Kristin"
"163",0,0.8,1,"Ward, Edward"
"164",0,0.8,0,"Yee, Sean"
"165",1,0.6,0,"Kiyota, Erin"
"166",1,0.6,1,"Horvath, Kelsey"
"167",1,0.6,0,"Vang, Hannah"
"168",0,0.8,1,"Ali, Julian"
"169",1,0.6,1,"Vigil, Llunuen"
"170",0,0.8,1,"Toedtli, Kilyn"
"171",0,0.8,1,"Heredia, Kyle"
"172",1,0.6,1,"Vergil, Andrea"
"173",1,0.6,0,"Quan, Anna"
"174",0,0.8,1,"Byers, Alfred"
"175",0,0.8,1,"Hernandez-Espinosa, Thomas"
"176",1,0.6,0,"Nelson, Cheyenne"
"177",1,0.6,1,"Kim, Kerani"
"178",0,0.8,0,"Giroir, Jacob"
"179",0,0.8,0,"Phan, Taran"
"180",0,0.8,1,"Fisher, Anthony"
"181",1,0.6,1,"Martinez, Viviana"
"182",0,0.8,1,"Lin, Isiah"
"183",1,0.6,0,"Owens, April"
"184",0,0.8,1,"Mackey, Kenneth"
"185",1,0.6,1,"Geronimo, Wendy"
"186",0,0.8,0,"Carroll, Noah"
"187",0,0.8,1,"Poyer, Keith"
"188",0,0.8,0,"Trujillo, Terrance"
"189",1,0.6,0,"al-Hamidi, Sahar"
"190",0,0.8,1,"el-Mady, Nabeel"
"191",0,0.8,1,"Hansen, Addison"
"192",0,0.8,1,"Klein, Caleb"
"193",0,0.8,1,"Bellow, Manuel"
"194",1,0.6,0,"Wilson, Biancha"
"195",0,0.8,1,"Brown, Aric"
"196",1,0.6,0,"Worden, Sabine"
"197",0,0.8,1,"Smith, Natnael"
"198",1,0.6,1,"Diggins, Erica"
"199",1,0.6,1,"Lovato, Krystal"
"200",0,0.8,0,"Ho, Richard"
"201",1,0.6,1,"Metz, Jocelyn"
"202",1,0.6,0,"Natrasevschi, Madison"
"203",1,0.6,0,"Garcia, Mia"
"204",1,0.6,0,"Garcia, Yessenia"
"205",1,0.6,1,"Israel, Katiery"
"206",0,0.8,1,"Frick, Daravion"
"207",1,0.6,0,"Rilling, Courtnie"
"208",0,0.8,1,"al-Kabir, Kamaaluddeen"
"209",1,0.6,1,"Deibert, Sarah"
"210",1,0.6,1,"Alaniz, Tayler"
"211",0,0.8,1,"Horton, Ji Hoon"
"212",0,0.8,0,"Char, Kirkpatrick"
"213",0,0.8,1,"Mccann, Antonio"
"214",0,0.8,1,"al-Raad, Ameen"
"215",0,0.8,1,"Ruiz, Cesar"
"216",1,0.6,1,"Norris, Amberleigh"
"217",1,0.6,1,"Brown, Isabel"
"218",1,0.6,1,"Avila, Diana"
"219",1,0.6,0,"Martinez, Daisy"
"220",0,0.8,1,"Sumual, Frank"
"221",1,0.6,1,"Stott, Cheyenne"
"222",1,0.6,1,"al-Musa, Naseeba"
"223",1,0.6,1,"Alexander, Adaiah"
"224",1,0.6,0,"Vanderpool, Marissa"
"225",1,0.6,0,"al-Sarwar, Ghazaala"
"226",0,0.8,1,"Tiefel, Winston"
"227",0,0.8,1,"Graves, Collin"
"228",1,0.6,1,"Chen, Mika"
"229",0,0.8,1,"Knoll, Hakeem"
"230",1,0.6,1,"Robinson, Hansena"
"231",0,0.8,1,"Pier, Ronnie"
"232",1,0.6,0,"Cahill, Kristina"
"233",0,0.8,1,"Alvarez-Rocha, Ignacio"
"234",0,0.8,1,"Thompson, Dameion"
"235",1,0.6,0,"Gilmore, Joyce Ann"
"236",1,0.6,0,"Garrett, Samantha"
"237",0,0.8,1,"al-Fawaz, Azmi"
"238",1,0.6,1,"el-Kaber, Tasneem"
"239",0,0.8,1,"Blandford, Timothy"
"240",0,0.8,0,"An, James"
"241",1,0.6,0,"Tunnell, Cheyanne"
"242",0,0.8,1,"Meyer, William"
"243",1,0.6,0,"Hernandez, Jaquelin"
"244",1,0.6,1,"Plascencia, Beatriz"
"245",0,0.8,1,"Frayre, Ugljesa"
"246",0,0.8,0,"Bejarano Lobato, Miguel"
"247",0,0.8,1,"Ratcliff, Alan"
"248",1,0.6,0,"Leopold, Sherreelynn"
"249",0,0.8,1,"el-Amer, Kamaaluddeen"
"250",0,0.8,1,"Tache, Cameron"
"251",1,0.6,0,"Curtis, Alize"
"252",1,0.6,1,"Diffee, Mary"
"253",0,0.8,1,"Pavisook, Erik"
"254",1,0.6,1,"Menon, Sloan"
"255",1,0.6,1,"Koester, Jessica"
"256",1,0.6,1,"al-Assad, Hishma"
"257",0,0.8,1,"Jackson, Blake"
"258",0,0.8,1,"Gregory, Michael"
"259",1,0.6,0,"Payan, Anessa"
"260",0,0.8,1,"Pham, Shaofan"
"261",1,0.6,1,"Cudjoe, Kirsten"
"262",1,0.6,0,"Perez, Veronica"
"263",0,0.8,0,"Gonzales, Zackarie"
"264",1,0.6,1,"Tran, Elizabeth"
"265",0,0.8,1,"Mcphaul, Nathan"
"266",0,0.8,1,"Lanphear, Kyler"
"267",1,0.6,1,"Asberry, Nora"
"268",1,0.6,1,"el-Ghazi, Hasnaa"
"269",0,0.8,1,"Sena, Remy"
"270",0,0.8,0,"Harada, Lang"
"271",1,0.6,1,"al-Shareef, Kulthum"
"272",1,0.6,1,"Evans, Kentanya"
"273",1,0.6,1,"Green, Lee"
"274",1,0.6,1,"Owens, Zhaney"
"275",1,0.6,0,"Xiong, Joann"
"276",0,0.8,1,"Mcallister, Landon"
"277",1,0.6,1,"Tipoti, Jae Mi"
"278",0,0.8,1,"Haulman, Caleb"
"279",1,0.6,1,"Marshall, Adinidiin"
"280",0,0.8,1,"Duncan, Walter"
"281",1,0.6,1,"Pickens, Kelsey"
"282",1,0.6,1,"Gibson, Clara"
"283",0,0.8,0,"Earnest, Darrell"
"284",0,0.8,1,"Laner, Cody"
"285",1,0.6,0,"Vigil, Karina"
"286",0,0.8,0,"Karr, Andrew"
"287",0,0.8,1,"Hales, Ivan"
"288",1,0.6,1,"Ford, Bridgette"
"289",0,0.8,1,"Yetzbacher, Justus"
"290",1,0.6,1,"Thorvaldson, Abygail"
"291",1,0.6,0,"al-Kamel, Jadeeda"
"292",0,0.8,0,"Harney, Emanuel"
"293",0,0.8,0,"Russo, Ontario"
"294",1,0.6,1,"Smith, Emily"
"295",0,0.8,1,"Mcdowall, Michael"
"296",1,0.6,0,"Marquez, Taylor"
"297",1,0.6,1,"Murphy, Davoney"
"298",0,0.8,0,"Johnson, Malachi"
"299",0,0.8,1,"Marin, Jesus"
"300",1,0.6,1,"Chisum, Crystal"
"301",1,0.6,0,"Vo, Tenzin"
"302",0,0.8,1,"el-Ghazi, Saeed"
"303",0,0.8,1,"Murphy, Dyami"
"304",1,0.6,0,"Buccieri, Monaca"
"305",1,0.6,0,"Walker-Smith, Tianna"
"306",1,0.6,0,"Quimby, Catherine"
"307",1,0.6,1,"Avorque, Grace"
"308",0,0.8,0,"Hope, Jaelyn"
"309",0,0.8,1,"el-Nagi, Tawheed"
"310",0,0.8,0,"al-Lone, Naseer"
"311",0,0.8,1,"Werth, Sean"
"312",1,0.6,1,"el-Bacho, Zaahira"
"313",1,0.6,0,"Flores, Julia"
"314",1,0.6,1,"Lee, Tessa"
"315",0,0.8,1,"Myers, Joseph"
"316",1,0.6,1,"al-Dallal, Shaqeeqa"
"317",1,0.6,1,"al-Azer, Aatifa"
"318",1,0.6,0,"Lee, Nilofar"
"319",1,0.6,0,"Miyauchi, Melissa Nicole"
"320",1,0.6,1,"Chavez, Sadely"
"321",0,0.8,1,"el-Hatem, Razeen"
"322",0,0.8,1,"Pacheco, Zachary"
"323",0,0.8,1,"Martinez, Cameron"
"324",0,0.8,1,"Baier, Dylan"
"325",1,0.6,1,"West, Callie"
"326",0,0.8,1,"Butler, Dante"
"327",1,0.6,1,"Nguyen, Christi"
"328",1,0.6,0,"Mares, Stephanie"
"329",0,0.8,1,"Vang, Conor"
"330",0,0.8,1,"Gehring, Byron"
"331",1,0.6,1,"Blackmore, Danielle"
"332",0,0.8,1,"Maillot, Christopher"
"333",0,0.8,1,"Mares, Milton"
"334",0,0.8,1,"Whitlock, Quaton"
"335",1,0.6,1,"Hogan, Celeste"
"336",0,0.8,0,"Robinson, Zachary"
"337",0,0.8,1,"Devora Rios, Martin"
"338",0,0.8,1,"Miranda, Skylar"
"339",0,0.8,1,"Moss, Evan"
"340",0,0.8,1,"Samoy, Althean"
"341",1,0.6,0,"Noffsinger, Roima"
"342",1,0.6,1,"Martin, Autumn"
"343",0,0.8,0,"Silva-Chavez, Adrian"
"344",1,0.6,0,"Hay, Haley"
"345",1,0.6,1,"Purdham, Kayla"
"346",1,0.6,1,"Johnson, Erinn"
"347",1,0.6,1,"Briseno, Candice"
"348",1,0.6,0,"O'Neill, Bailey"
"349",1,0.6,0,"Espinoza, Leandra"
"350",0,0.8,0,"Gonzalez, Obed"
"351",0,0.8,0,"Garcia, David"
"352",0,0.8,1,"el-Hana, Ismad"
"353",0,0.8,1,"Kenney, Andrew"
"354",1,0.6,0,"Mendez, Angelica"
"355",1,0.6,1,"Harris, Taylor"
"356",1,0.6,0,"Davis, Susan"
"357",0,0.8,1,"Wilson, Jackie"
"358",1,0.6,1,"el-Badie, Fawzaana"
"359",0,0.8,1,"Tucker, Alexander"
"360",0,0.8,1,"Marsh, Silvano"
"361",0,0.8,0,"Johnson, David"
"362",0,0.8,0,"Mercer, Alec"
"363",0,0.8,1,"el-Zaher, Daifallah"
"364",1,0.6,1,"el-Mourad, Jeelaan"
"365",0,0.8,1,"Carrillo, Tyler"
"366",0,0.8,1,"Nguyen, Peter"
"367",0,0.8,1,"Malpica-Nunez, Lucarrio"
"368",0,0.8,0,"Warren, Jonathan"
"369",0,0.8,1,"Granado, Juan"
"370",1,0.6,1,"Hernandez, Kristel"
"371",0,0.8,1,"Shannon, Jermaine"
"372",1,0.6,1,"Gopalakrishnan, Sage"
"373",0,0.8,1,"Schlabaugh, Myron"
"374",1,0.6,1,"Lestenkof, Janae"
"375",1,0.6,0,"Czajka, Brianna"
"376",0,0.8,1,"Farmer, Jeremiah"
"377",1,0.6,0,"Ford, Tatyanne"
"378",1,0.6,1,"el-Qadir, Naseefa"
"379",1,0.6,1,"Acosta-Dominguez, Yasmin"
"380",1,0.6,0,"Pickett, Sarah"
"381",0,0.8,1,"Concepcion, Dillon"
"382",1,0.6,1,"Grossaint, Vivian"
"383",0,0.8,1,"Hoshiko, Kanoa"
"384",1,0.6,1,"Guevara, Camila"
"385",1,0.6,1,"Black, Ariana"
"386",1,0.6,1,"Terry, Quintina"
"387",1,0.6,1,"Kim, Samantha"
"388",1,0.6,0,"Renteria, Nancy"
"389",1,0.6,0,"Atencio, Cristal"
"390",0,0.8,1,"Horton, Ty"
"391",0,0.8,0,"Mao, Trevor"
"392",1,0.6,1,"al-Yousef, Shabeeba"
"393",0,0.8,1,"al-Taha, Azzaam"
"394",1,0.6,1,"Naguib, Danielle"
"395",0,0.8,0,"el-Basher, Mujahid"
"396",1,0.6,1,"Blalock, Latasha"
"397",1,0.6,1,"Sater, Nicole"
"398",1,0.6,1,"Keller, Taylor"
"399",1,0.6,0,"Westbrooks, Cathi-Lee"
"400",1,0.6,1,"Sparks, Ashley"
"401",0,0.8,1,"Quezada, Allan"
"402",1,0.6,1,"Mcentyre, Savannah"
"403",1,0.6,1,"Kim, Thuanh"
"404",1,0.6,1,"Swain, Josephine"
"405",1,0.6,0,"Petersen, Amy"
"406",0,0.8,1,"el-Nagi, Muhyddeen"
"407",1,0.6,1,"el-Salaam, Waheeda"
"408",0,0.8,1,"Decker, Gary"
"409",1,0.6,0,"Kelley, Raechalle"
"410",0,0.8,0,"Tran, Navjot"
"411",1,0.6,1,"Olague, Brisa"
"412",1,0.6,0,"al-Badour, Hasnaa"
"413",1,0.6,1,"Lerolland, Cassandra"
"414",1,0.6,0,"Charles, Sierra"
"415",1,0.6,0,"Pont, Mary"
"416",1,0.6,1,"Grossi, Cassandra"
"417",1,0.6,1,"Plenty Wolf, Julia"
"418",1,0.6,1,"Sun, Christenia"
"419",1,0.6,1,"al-Noori, Najeeba"
"420",1,0.6,1,"Davis, Chasidy"
"421",0,0.8,1,"Woody, Alejandro"
"422",0,0.8,1,"Mcgowan, Tyler"
"423",0,0.8,1,"Godina-Silveira, Mike"
"424",1,0.6,1,"al-Sulaiman, Atheer"
"425",1,0.6,0,"el-Pirani, Nu'ma"
"426",0,0.8,1,"Monacelli, Cole"
"427",0,0.8,1,"Daley, Chrisna"
"428",1,0.6,0,"Dao, Cindy"
"429",0,0.8,1,"al-Zakaria, Mutlaq"
"430",1,0.6,1,"el-Begum, Aaisha"
"431",0,0.8,1,"Henderson, Steven"
"432",0,0.8,1,"Martinez III, Lucero"
"433",1,0.6,0,"Berumen, Adriana"
"434",0,0.8,1,"Chavez, Darrien"
"435",1,0.6,1,"Tomlin, Moe'Sha"
"436",0,0.8,1,"Pastrana, Josue"
"437",0,0.8,1,"Ledesma, Gunther"
"438",1,0.6,0,"Harper, Katrina"
"439",1,0.6,1,"Gann, Madison"
"440",1,0.6,0,"Garcia, Araceli"
"441",0,0.8,1,"Two Crow, Edward"
"442",0,0.8,0,"Delmonte, Tucker"
"443",0,0.8,1,"al-Abbasi, Daamir"
"444",0,0.8,1,"Green, Matthew"
"445",0,0.8,1,"Townsend, Brandon"
"446",0,0.8,1,"el-Baluch, Ghassaan"
"447",1,0.6,1,"al-Baig, Hazeela"
"448",0,0.8,1,"Orr, Derek"
"449",0,0.8,0,"Hill, Kenneth"
"450",0,0.8,1,"Roth, James"
"451",0,0.8,1,"Whitmore, David"
"452",1,0.6,0,"el-Din, Salwa"
"453",0,0.8,1,"Smith, Javontae"
"454",1,0.6,0,"Gardner, Katherine"
"455",1,0.6,0,"el-Munir, Mahfoodha"
"456",0,0.8,1,"al-Lone, Aakif"
"457",1,0.6,1,"Weiss, Shelen"
"458",0,0.8,1,"Guillory, James"
"459",0,0.8,0,"Smith, Elias"
"460",1,0.6,1,"Ehrle, Megan"
"461",1,0.6,0,"Davis, Amber"
"462",0,0.8,0,"Vue, Justin"
"463",1,0.6,0,"el-Hafeez, Hamda"
"464",1,0.6,0,"Kallander, Diana"
"465",0,0.8,1,"Tipoti, Cody"
"466",0,0.8,1,"Molina, Tarquin"
"467",0,0.8,1,"Tasker, Marquise"
"468",0,0.8,1,"Baca, Isaiah"
"469",0,0.8,1,"Quintana, Nathan"
"470",1,0.6,1,"Van Dusen, Kodee"
"471",1,0.6,1,"Topper, Taylor"
"472",0,0.8,1,"el-Amber, Shameem"
"473",0,0.8,1,"el-Sharaf, Maaiz"
"474",1,0.6,0,"Lestenkof, Megan"
"475",0,0.8,1,"U-Ren, Trever"
"476",0,0.8,0,"Carmona Vega, Donovan"
"477",1,0.6,0,"Terry, Tiffany"
"478",0,0.8,0,"el-Kader, Miqdaam"
"479",0,0.8,1,"Langcauon, Sunny"
"480",0,0.8,1,"Garcia-Rodriguez, Isaac"
"481",0,0.8,1,"al-Haque, Najeem"
"482",1,0.6,1,"Nelms, Sharay"
"483",0,0.8,0,"Boigenzahn, James"
"484",1,0.6,0,"Vigil, Ashley"
"485",1,0.6,1,"Woo, Maisee"
"486",1,0.6,1,"Dobbertin-Schmidt, Kaley"
"487",1,0.6,1,"Britt, Sarah"
"488",0,0.8,1,"Storrer, Jonathan"
"489",0,0.8,1,"al-Gad, Abdut Tawwab"
"490",0,0.8,1,"Nakarmi Dhital, Alexander"
"491",0,0.8,0,"Drummond, Lamont"
"492",0,0.8,1,"Barrios, Joshua"
"493",0,0.8,1,"Vaughn, Marquis"
"494",0,0.8,1,"Chavez, Misael"
"495",1,0.6,1,"Mcguire, Ashwini"
"496",1,0.6,1,"Vigil, Adamina"
"497",0,0.8,1,"Pineda, Trent"
"498",0,0.8,1,"al-Ahsan, Bassil"
"499",1,0.6,1,"el-Farah, Muhjar"
"500",0,0.8,1,"Astorga, Justin"
"501",1,0.6,1,"Willow, Heaven"
"502",0,0.8,0,"Vaughn, Christopher"
"503",1,0.6,0,"Gomez, Jonnie"
"504",1,0.6,1,"Broeren, Katrina"
"505",1,0.6,0,"Huynh, Simran"
"506",0,0.8,1,"Lovern, Lakota"
"507",1,0.6,1,"Ortega, Danielle"
"508",0,0.8,1,"Rogers, Joshua"
"509",1,0.6,1,"Vue, Migmar"
"510",0,0.8,1,"Montgomery, Dakei"
"511",0,0.8,1,"Thiemann, Connor"
"512",1,0.6,1,"Speights, Taylor"
"513",0,0.8,0,"al-Fahs, Abdul Haadi"
"514",0,0.8,1,"Workman, Lawrence"
"515",1,0.6,0,"Forbis, Lia"
"516",1,0.6,0,"Frauenfelder, Taylor"
"517",1,0.6,1,"Barker, Britney"
"518",0,0.8,1,"Sutherlin, Trevor"
"519",1,0.6,0,"Elliott, Deirdra"
"520",1,0.6,1,"Garcia, Lizeth"
"521",1,0.6,0,"el-Imam, Khaleela"
"522",0,0.8,1,"al-Akhtar, Izzaddeen"
"523",0,0.8,1,"Nguyen, Coob"
"524",0,0.8,0,"Pittman Jr, Mark"
"525",1,0.6,0,"Jennis, Tisha"
"526",0,0.8,1,"Rivera, Tony"
"527",1,0.6,1,"Padilla, Jasmine"
"528",1,0.6,0,"el-Kabir, Zulfa"
"529",0,0.8,1,"Ihme, Henry"
"530",0,0.8,1,"Straube, Weston"
"531",0,0.8,1,"Bajwa, Ohdomm"
"532",0,0.8,1,"Manjarrez, Rosalio"
"533",0,0.8,0,"Weiner, Shawn"
"534",0,0.8,1,"Trujillo, Joshua"
"535",0,0.8,1,"Taylor, Rory"
"536",0,0.8,1,"Eshima, Zackeree"
"537",1,0.6,1,"Dominguez, Karen"
"538",1,0.6,0,"Navakuku, Jordan"
"539",1,0.6,1,"Littlethunder, Brittany"
"540",0,0.8,1,"Jordan, Brandon"
"541",1,0.6,1,"el-Farooqui, Manaara"
"542",0,0.8,0,"Arvelo, Ulysses"
"543",0,0.8,1,"al-Muhammad, Nadheer"
"544",0,0.8,1,"Johnson, Peter"
"545",0,0.8,1,"Sanchez-Trujillo, Phillip"
"546",1,0.6,1,"Jaeger, Margarita"
"547",1,0.6,0,"Ehr-Jackson, La Tonyah"
"548",0,0.8,1,"Potter, Qu Onu"
"549",0,0.8,1,"Rosser, Antonio"
"550",0,0.8,0,"Deslauriers, Trevor"
"551",0,0.8,1,"Sher, Daniel"
"552",0,0.8,1,"Hazelman, Da"
"553",1,0.6,0,"Tutt, Devon"
"554",1,0.6,1,"Allen, Rachel"
"555",0,0.8,1,"Kane, Abhishek"
"556",1,0.6,0,"Mariz, Rachel"
"557",0,0.8,1,"An, Kanishka"
"558",1,0.6,1,"Hsu, Nicole"
"559",0,0.8,1,"Casorso-Rodriguez, Isaac"
"560",0,0.8,1,"al-Nasr, Saahir"
"561",1,0.6,0,"Szympruch, Erica"
"562",1,0.6,0,"Larez, Jessica"
"563",1,0.6,0,"Yamaguchi, Kimberly"
"564",1,0.6,1,"Galvan, Danica"
"565",1,0.6,1,"Heideman, Heather"
"566",1,0.6,1,"Viner, Jaime"
"567",0,0.8,1,"Bushur, Samuel"
"568",0,0.8,0,"Eagle, Anthony"
"569",1,0.6,1,"el-Matin, Aneesa"
"570",1,0.6,1,"Crazybear, Kaylyn"
"571",0,0.8,1,"Gutierrez, Reymundo"
"572",0,0.8,1,"Davis, Daniel"
"573",0,0.8,1,"el-Sinai, Zaghlool"
"574",1,0.6,1,"al-Mansouri, Saabira"
"575",0,0.8,1,"Lumba, Randy"
"576",0,0.8,1,"Estrada-Tello, Jose"
"577",1,0.6,0,"Johnson, Breanna"
"578",1,0.6,1,"al-Rassi, Sadeeqa"
"579",1,0.6,1,"Taylor, Ashley"
"580",0,0.8,1,"Qureshi, Plenty"
"581",0,0.8,1,"Javaid, Evin"
"582",1,0.6,1,"Tomlinson, Katherine"
"583",0,0.8,1,"Saenz, Oscar"
"584",0,0.8,0,"Schippers, John"
"585",0,0.8,1,"Tan, Chu"
"586",1,0.6,0,"Sparks II, Asia"
"587",0,0.8,1,"Temple, Vincent"
"588",0,0.8,1,"Miller, Joshua"
"589",1,0.6,0,"Harding, Amber"
"590",1,0.6,0,"Tafoya, Alicia"
"591",1,0.6,1,"Bonser, Tateh"
"592",0,0.8,0,"el-Akbar, Asad"
